"","team_name","Domains","Tournament","Rank","Nteams","May2020","June2020","July2020","August2020","Sept2020","Oct2020","Nov2020","Dec2020","Jan2021","Feb2021","March2021","April2021","MAE","MASE"
"125","TheMets","Implicit Asian American Bias","May - 12-months",19,30,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.04533537075,1.75202168989603
"126","CoronaSky","Implicit Asian American Bias","May - 12-months",20,30,0.42,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.04683537075,1.80999039052354
"127","Team29","Implicit Asian American Bias","May - 12-months",21,30,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.05183537075,2.00321939261525
"128","Tosbik","Implicit Asian American Bias","May - 12-months",22,30,0.4,0.42,0.4,0.41,0.4,0.43,0.43,0.44,0.42,0.41,0.4,0.4,0.0651687040833333,2.51849673152648
"129","ForecastSnorecast","Implicit Asian American Bias","May - 12-months",23,30,0.42,0.425,0.43,0.435,0.44,0.445,0.45,0.43,0.41,0.4,0.39,0.36,0.0714187040833333,2.76003298414111
"130","Broken Mirror Neurons","Implicit Asian American Bias","May - 12-months",24,30,0.47,0.46,0.45,0.45,0.43,0.47,0.42,0.4,0.39,0.4,0.37,0.36,0.07433537075,2.87274990202794
"131","A Woman Scientist","Implicit Asian American Bias","May - 12-months",25,30,0.43,0.41,0.38,0.42,0.44,0.42,0.43,0.44,0.43,0.45,0.38,0.46,0.0760020374166667,2.93715956939184
"132","NYHC","Implicit Asian American Bias","May - 12-months",26,30,0.42,0.43,0.43,0.44,0.44,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.08683537075,3.35582240725721
"133","Imielin","Implicit Asian American Bias","May - 12-months",27,30,0.44,0.45,0.46,0.45,0.46,0.44,0.45,0.44,0.46,0.45,0.46,0.44,0.10183537075,3.93550941353234
"134","ms607","Implicit Asian American Bias","May - 12-months",28,30,0.6,0.55,0.48,0.52,0.35,0.4,0.52,0.41,0.49,0.39,0.49,0.52,0.128502037416667,4.96606409135479
"135","R4VST9","Implicit Asian American Bias","May - 12-months",29,30,0.55,0.56,0.57,0.58,0.59,0.6,0.65,0.5,0.35,0.33,0.32,0.31,0.15817408575,6.11276414924818
"136","polarization-2020CO","Implicit Asian American Bias","May - 12-months",30,30,0.6,0.7,0.65,0.63,0.65,0.65,0.6,0.55,0.57,0.55,0.53,0.55,0.25433537075,9.82899397732946
"137","AbCdEfG","Ideological Preferences for Democrats","May - 12-months",1,34,47.8,47.65,47.5,47.36,47.22,47.1,46.98,46.88,46.79,46.7,46.63,46.57,1.41537388818182,1.3323698813025
"138","Turing Tesla Solutions","Ideological Preferences for Democrats","May - 12-months",2,34,47,46,48,49,47,45,43,45,45,45,45,45,1.49561819181818,1.40790829147377
"139","Tosbik","Ideological Preferences for Democrats","May - 12-months",3,34,45,46,47,47,48,48,49,47,45,44,44,43,1.73242915909091,1.63083157908763
"140","Bluebirds","Ideological Preferences for Democrats","May - 12-months",4,34,47.12,47.1905,47.228,47.2652,47.3024,47.3396,47.3768,47.414,47.4512,47.4884,47.5256,47.5628,1.78377071727273,1.67916223316552
"141","The Nowcast","Ideological Preferences for Democrats","May - 12-months",5,34,43.64,47.34,47.5,47.75,48,48.5,49,47,47,47,47,47,1.81541617181818,1.70895185332776
"142","CarrNCUSA","Ideological Preferences for Democrats","May - 12-months",6,34,48.7,48.5,48.53922,48.53153,48.53303,48.53274,48.5328,48.53278,48.53279,48.53279,48.53279,48.53279,1.88465408090909,1.7741293343364
"143","Team IPA","Ideological Preferences for Democrats","May - 12-months",7,34,47,47,46,46,46,46,46,48,48,47,46.5,46,1.92723435363636,1.8142125048634
"144","Sociology","Ideological Preferences for Democrats","May - 12-months",8,34,44,45,46,46,47,47,47,47,47,47,47,47,2.33632526272727,2.19931244950599
"145","Junesix","Ideological Preferences for Democrats","May - 12-months",9,34,45,45,46,46,45,45,46,46,46,47,46,47,2.33632526272727,2.19931244950599
"146","IPZ_predi","Ideological Preferences for Democrats","May - 12-months",10,34,45.6640777587891,44.4385108947754,44.5853538513184,44.7321968078613,44.8790435791016,45.0258865356445,45.1727294921875,45.3195724487305,43.7042961120605,43.8511390686035,43.9979820251465,44.1448249816895,2.4404912096502,2.29736962824606
"147","Old Chickens","Ideological Preferences for Democrats","May - 12-months",11,34,43.6069558257962,43.6915453658627,43.7734062110884,44.5237077235813,46.3758480274331,47.8899200817992,48.0585524839054,47.2569482297344,46.3964432413157,45.6961875538803,44.820088030328,44.5210685974829,2.59553304446492,2.44331909981245
"148","md2000","Ideological Preferences for Democrats","May - 12-months",12,34,44,45,45,46,47,47,48,48,48,48,47,46,2.60905253545455,2.45604574593439
"149","fearfulastra","Ideological Preferences for Democrats","May - 12-months",13,34,42.945,44.35,43.841,44.432,45.084,45.88,45.97,46.058,46.148,46.238,46.319,46.409,2.74196162636364,2.58116043906049
"150","Heisenburg","Ideological Preferences for Democrats","May - 12-months",14,34,42.02,43.5,43.04,43.68,44.42,45.31,46.39,46.37,45.26,45.26,44.98,43.78,3.04450708090909,2.86596324256506
"151","StatFore","Ideological Preferences for Democrats","May - 12-months",15,34,43.9091494109097,43.9195841022282,43.9300187935467,43.9404534848652,43.9508881761838,43.9613228675023,43.9717575588208,43.9821922501393,43.9926269414578,44.0030616327764,44.0134963240949,44.0239310154134,3.18644228486539,2.99957471613183
"152","MLTS","Ideological Preferences for Democrats","May - 12-months",16,34,43.88647638,43.9003893,43.91430223,43.92821515,43.94212807,43.95604099,43.96995391,43.98386683,43.99777976,44.01169268,44.0256056,44.03951852,3.19077555363636,3.00365386217673
"153","Bordeaux","Ideological Preferences for Democrats","May - 12-months",17,34,43.868,43.868,43.868,43.868,43.959,44.076,44.084,44.091,43.868,43.868,43.868,43.868,3.21552006818182,3.02694724506524
"154","Erebuni","Ideological Preferences for Democrats","May - 12-months",18,34,44,43,42,42,43,45,46,46,46,45,44,43,3.38177980818182,3.18345675248151
"155","LongerSquigglyLines","Ideological Preferences for Democrats","May - 12-months",19,34,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,3.40061097727273,3.20118357557464
"156","BRTWN","Ideological Preferences for Democrats","May - 12-months",20,34,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,3.40061097727273,3.20118357557464
"157","The Bingo Jingoists","Ideological Preferences for Democrats","May - 12-months",21,34,42.96,42.03,43.05,42.45,43.56,44.24,45.88,44.02,45.76,43.99,44.09,45.65,3.60879279545454,3.39715665851498
"158","Dutch East India Company","Ideological Preferences for Democrats","May - 12-months",22,34,43,42,41,42.5,43,44,45,47,47,46,46,45,3.70905253545455,3.49153670819558
"159","Team29","Ideological Preferences for Democrats","May - 12-months",23,34,43,44,45,46,47,48,49,50,50,50,50,50,3.79087071727273,3.5685566971241
"160","Average Joes","Ideological Preferences for Democrats","May - 12-months",24,34,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.3,43.4,3.84152006818182,3.61623573813388
"161","RTTMT","Ideological Preferences for Democrats","May - 12-months",25,34,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,43.30266437,3.84794660727272,3.62228539554047
"162","Imielin","Ideological Preferences for Democrats","May - 12-months",26,34,43.01,43.04,43.05,43.06,43.1,43.08,43,43.04,43.07,43.06,43.09,43.04,4.09879279545455,3.85842081443133
"163","TheMets","Ideological Preferences for Democrats","May - 12-months",27,34,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,4.12333825,3.88152681110989
"164","NYHC","Ideological Preferences for Democrats","May - 12-months",28,34,38,40,41,43,46,48,50,49,48,47,46,45,4.24541617181818,3.99644552450476
"165","Skuld Forecasting Systems","Ideological Preferences for Democrats","May - 12-months",29,34,43.8,43.75,43.54,43.24,42.91,42.6,42.33,42.09,41.88,41.71,41.57,41.45,4.51515643181818,4.25036698031201
"166","ab","Ideological Preferences for Democrats","May - 12-months",30,34,42,42,42,42,42,42,42,42,42,42,42,42,5.15061097727273,4.84855556099017
"167","Goldensaber","Ideological Preferences for Democrats","May - 12-months",31,34,43.3,43.3,43,42.5,42.3,41,40.6,40.6,40.6,40.6,40.6,40.6,5.47788370454545,5.15663551670425
"168","A Woman Scientist","Ideological Preferences for Democrats","May - 12-months",32,34,40,39,41,43,45,40,41,42,43,41,41,40,5.96879279545455,5.61875545027535
"169","SCREEN Team","Ideological Preferences for Democrats","May - 12-months",33,34,45,50,50,50,55,55,55,55,55,55,55,55,6.01852221545455,5.66556850933762
"170","BlackSwan","Ideological Preferences for Democrats","May - 12-months",34,34,39,41,40,41,40,41,40,40,41,40,41,40,6.87788370454545,6.47453310503667
"171","Erebuni","Ideological Preferences for Republicans","May - 12-months",1,34,39,39,42,42,44,47,48,47,43,42,41,42,1.57090616545455,1.61295458456743
"172","IPZ_predi","Ideological Preferences for Republicans","May - 12-months",2,34,39.6250953674316,41.6387329101562,41.6412315368652,41.643726348877,41.6462249755859,41.6487236022949,41.6512184143066,41.6537170410156,41.6262474060059,41.6287422180176,41.6312408447266,41.6337394714355,1.59110808383966,1.6336972473648
"173","CarrNCUSA","Ideological Preferences for Republicans","May - 12-months",3,34,41.3,40.6,40.59387,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,1.98433514727273,2.03744981304196
"174","ab","Ideological Preferences for Republicans","May - 12-months",4,34,40,40,40,40,40,40,40,40,40,40,40,40,2.60345136363636,2.67313790283618
"175","Bluebirds","Ideological Preferences for Republicans","May - 12-months",5,34,37.625,37.1947,38.4808,39.0497,40.7266,41.716,41.1082,40.8005,40.2346,40.0212,40.3989,41.6016,2.919815,2.99796963937437
"176","Old Chickens","Ideological Preferences for Republicans","May - 12-months",6,34,38.1405010595282,38.2921390056949,38.438885405211,38.9421366800441,40.0234561516183,40.7322818361135,42.2878473107705,40.155100602464,39.3389299889103,39.490567935077,39.627531241292,39.7791691874588,2.97530441679343,3.05494434046101
"177","Team IPA","Ideological Preferences for Republicans","May - 12-months",7,34,39,39,38,38,39,40,41,41,41,41.5,42,43,3.03851629818182,3.11984821322354
"178","NYHC","Ideological Preferences for Republicans","May - 12-months",8,34,31,35,38,40,43,45,48,47,46,45,44,43,3.27677603818182,3.36448544770766
"179","Heisenburg","Ideological Preferences for Republicans","May - 12-months",9,34,37.7,37.82,37.47,37.82,38.39,39.6,40.81,42.07,41.29,41.27,39,37.75,3.61487993454545,3.71163936542243
"180","Team29","Ideological Preferences for Republicans","May - 12-months",10,34,35,37,39,41,43,45,47,49,50,50,50,50,4.09495785636364,4.2045675249616
"181","The Nowcast","Ideological Preferences for Republicans","May - 12-months",11,34,35.56,37.48,38,38.5,38.75,39.25,39.5,38,38,38,38,38,4.50890590909091,4.62959571830758
"182","Turing Tesla Solutions","Ideological Preferences for Republicans","May - 12-months",12,34,38,40,38,35,37,39,40,38,38,38,38,38,4.51254227272727,4.63332941642871
"183","fearfulastra","Ideological Preferences for Republicans","May - 12-months",13,34,37.476,36.928,36.604,36.981,37.405,38.089,38.158,38.225,38.295,38.364,38.427,38.496,4.86226954545455,4.99241783322826
"184","Dutch East India Company","Ideological Preferences for Republicans","May - 12-months",14,34,35,34,34,35,37,39,40,41,41,40,39,39,5.05799681818182,5.19338413459801
"185","Junesix","Ideological Preferences for Republicans","May - 12-months",15,34,34,34,35,36,37,38,40,39,39,41,41,43,5.08397084363636,5.2200534063584
"186","Imielin","Ideological Preferences for Republicans","May - 12-months",16,34,35.02,37.04,37.09,37.2,37.22,37.25,37.3,37.32,37.4,37.5,38.01,38.5,5.38072409090909,5.52474984284817
"187","md2000","Ideological Preferences for Republicans","May - 12-months",17,34,38,39,38,37,38,37,36,36,36,36,37,37,5.42163318181818,5.56675394671087
"188","Goldensaber","Ideological Preferences for Republicans","May - 12-months",18,34,36.7,36.7,36.4,36.4,36.7,37,37.5,37.7,37.7,37.7,37.7,37.7,5.49436045454545,5.64142790913344
"189","Average Joes","Ideological Preferences for Republicans","May - 12-months",19,34,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,5.90345136363636,6.06146894776041
"190","RTTMT","Ideological Preferences for Republicans","May - 12-months",20,34,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,36.69545774,5.90799362363636,6.06613279035802
"191","TheMets","Ideological Preferences for Republicans","May - 12-months",21,34,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,6.01254227272727,6.17347989139427
"192","The Bingo Jingoists","Ideological Preferences for Republicans","May - 12-months",22,34,35.2,35.05,34.76,33.99,33.98,36.85,37.87,36.45,35.78,37.78,37.25,36.56,6.62708772727273,6.80447487386501
"193","A Woman Scientist","Ideological Preferences for Republicans","May - 12-months",23,34,38,39,36,35,36,34,35,36,37,35,35,34,6.87617863636364,7.06023319516232
"194","MLTS","Ideological Preferences for Republicans","May - 12-months",24,34,35.04883061,34.64922938,34.57181673,34.7625017,35.1515189,35.62795288,36.09007126,36.45161105,36.66215373,36.70756116,36.60849622,36.40972979,6.95987684727273,7.14617175468592
"195","Bordeaux","Ideological Preferences for Republicans","May - 12-months",25,34,35.643,35.469,35.166,35.259,35.381,35.689,35.759,35.714,35.714,35.819,35.714,35.714,7.02826954545455,7.21639511907852
"196","StatFore","Ideological Preferences for Republicans","May - 12-months",26,34,35.066118538212,34.7664176144515,34.7083581309704,34.851371853152,35.1431347580321,35.5004602376852,35.8470490245044,36.1182038675572,36.2761108772702,36.3101664563464,36.2358677447654,36.0867929222183,7.09127489564592,7.28108693242693
"197","BRTWN","Ideological Preferences for Republicans","May - 12-months",27,34,33.71636,32.48795,32.22611,32.76857,33.90602,35.30572,36.66247,37.71749,38.31951,38.42613,38.09934,37.47344,7.25894227272727,7.45324225939232
"198","LongerSquigglyLines","Ideological Preferences for Republicans","May - 12-months",28,34,33.716,32.488,32.226,32.769,33.906,35.306,36.662,37.717,38.32,38.426,38.099,37.473,7.25908772727273,7.45339160731716
"199","AbCdEfG","Ideological Preferences for Republicans","May - 12-months",29,34,37.5,36.9,36.31,35.79,35.35,34.99,34.68,34.43,34.22,34.05,33.9,33.78,7.359815,7.55681504527243
"200","Sociology","Ideological Preferences for Republicans","May - 12-months",30,34,35,35,35,35,35,35,35,35,35,35,35,35,7.60345136363636,7.80697281938804
"201","Skuld Forecasting Systems","Ideological Preferences for Republicans","May - 12-months",31,34,35.7,35.66,35.48,35.22,34.95,34.69,34.46,34.26,34.08,33.92,33.82,33.71,7.88799681818182,8.09913469736636
"202","Tosbik","Ideological Preferences for Republicans","May - 12-months",32,34,35,34,34,36,37,33,32,34,36,36,35,34,8.05799681818182,8.27368508452912
"203","BlackSwan","Ideological Preferences for Republicans","May - 12-months",33,34,33,35,34,35,34,35,34,34,35,34,35,34,8.33072409090909,8.55371244361377
"204","SCREEN Team","Ideological Preferences for Republicans","May - 12-months",34,34,35,30,25,25,25,25,25,25,25,25,25,25,16.239815,16.6745058570685
"205","The Well-Adjusted R Squares","Implicit Gender-Career Bias","May - 12-months",1,22,0.3576008,0.3572433,0.3568859,0.3565284,0.3561709,0.3558134,0.355456,0.3550985,0.354741,0.3543836,0.3540261,0.3536686,0.00586615333333332,0.526829630267004
"206","fearfulastra","Implicit Gender-Career Bias","May - 12-months",2,22,0.361,0.357,0.365,0.35,0.354,0.357,0.357,0.356,0.356,0.356,0.355,0.355,0.00713131466666666,0.640451699039176
"207","MLTS","Implicit Gender-Career Bias","May - 12-months",3,22,0.360005115734121,0.359828593452986,0.359652071171851,0.359475548890716,0.35929902660958,0.359122504328445,0.35894598204731,0.358769459766175,0.35859293748504,0.358416415203905,0.35823989292277,0.358063370641635,0.00844803865389366,0.758704525369633
"208","Heisenburg","Implicit Gender-Career Bias","May - 12-months",4,22,0.348083465921154,0.360394944275952,0.362556203718211,0.378618487884481,0.347102969068157,0.357999886160133,0.359875655525552,0.351917322120815,0.345989652152832,0.355424961130912,0.360681217208961,0.36163614486982,0.00913454477776482,0.820358516812364
"209","Bordeaux","Implicit Gender-Career Bias","May - 12-months",5,22,0.361,0.361,0.361,0.36,0.36,0.36,0.36,0.358,0.358,0.36,0.36,0.36,0.00927145366666664,0.832654080058309
"210","Team29","Implicit Gender-Career Bias","May - 12-months",6,22,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.00935478699999998,0.840138110340888
"211","Heather Shimmer","Implicit Gender-Career Bias","May - 12-months",7,22,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.00975478699999999,0.876061455697267
"212","Bluebirds","Implicit Gender-Career Bias","May - 12-months",8,22,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.010354787,0.929946473731833
"213","WQXZ","Implicit Gender-Career Bias","May - 12-months",9,22,0.36254,0.36278,0.36217,0.36141,0.36067,0.3601,0.35984,0.35992,0.36028,0.3608,0.3613,0.36162,0.0104739536666667,0.940648637035922
"214","BRTWN","Implicit Gender-Career Bias","May - 12-months",10,22,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.3617207,0.36,0.0109320953333333,0.981793590320456
"215","LongerSquigglyLines","Implicit Gender-Career Bias","May - 12-months",11,22,0.370685,0.346239,0.331944,0.378714,0.348919,0.355908,0.360306,0.355144,0.333946,0.353772,0.360745,0.355293,0.0130963875,1.17616512770863
"216","MORDEAUX Team","Implicit Gender-Career Bias","May - 12-months",12,22,0.3627,0.3693,0.3723,0.3604,0.3666,0.3603,0.367,0.3579,0.3745,0.3569,0.3588,0.3622,0.0137415313333333,1.23410443953206
"217","AbCdEfG","Implicit Gender-Career Bias","May - 12-months",13,22,0.3638,0.3645,0.3648,0.365,0.3651,0.3651,0.3651,0.3651,0.3651,0.3651,0.3651,0.3651,0.0142631203333333,1.28094749398478
"218","Average Joes","Implicit Gender-Career Bias","May - 12-months",14,22,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.365107699396949,0.014462486396949,1.29885223387379
"219","FMTeam","Implicit Gender-Career Bias","May - 12-months",15,22,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.365108,0.014462787,1.29887923054184
"220","TeamKL","Implicit Gender-Career Bias","May - 12-months",16,22,0.37,0.38,0.36,0.39,0.35,0.36,0.35,0.36,0.35,0.36,0.39,0.35,0.0151087423333333,1.35689142185216
"221","TheMets","Implicit Gender-Career Bias","May - 12-months",17,22,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.019354787,1.73822174425034
"222","A Woman Scientist","Implicit Gender-Career Bias","May - 12-months",18,22,0.37,0.38,0.37,0.39,0.38,0.37,0.38,0.37,0.38,0.35,0.38,0.37,0.024983198,2.24370012465194
"223","BlackSwan","Implicit Gender-Career Bias","May - 12-months",19,22,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,0.035645213,3.20123824225164
"224","Sociology","Implicit Gender-Career Bias","May - 12-months",20,22,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.0385214536666667,3.45954870924346
"225","Imielin","Implicit Gender-Career Bias","May - 12-months",21,22,0.39,0.4,0.41,0.4,0.4,0.4,0.41,0.4,0.39,0.39,0.39,0.4,0.0476881203333333,4.28279204032712
"226","1859","Implicit Gender-Career Bias","May - 12-months",22,22,0.451177878734544,0.469998445953743,0.487400660829369,0.423151182418789,0.315312670177603,0.343069661163234,0.330700480124863,0.413934889542657,0.346445309216223,0.325965101332176,0.360973852980356,0.340531937006382,0.0505667049532481,4.54131301392401
"227","polarization-2020CO","Life Satisfaction","May - 12-months",1,57,6.29,6.29,6.31,6.33,6.33,6.36,6.34,6.35,6.36,6.4,6.39,6.4,0.0329093370833333,1.03516273201437
"228","NotGreatWithNamesTeam","Life Satisfaction","May - 12-months",2,57,6.359,6.35,6.345,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,0.0380077155833335,1.19553215554726
"229","Average Joes","Life Satisfaction","May - 12-months",3,57,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,0.0387493822500002,1.21886127004648
"230","C-Team","Life Satisfaction","May - 12-months",4,57,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,6.36140254312187,0.0401519253718701,1.2629782440872
"231","FMTeam","Life Satisfaction","May - 12-months",5,57,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,6.3619,0.0406493822500003,1.27862574314562
"232","RTTMT","Life Satisfaction","May - 12-months",6,57,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,6.361904877,0.0406542592499997,1.27877914911155
"233","AbCdEfG","Life Satisfaction","May - 12-months",7,57,6.37,6.28,6.24,6.25,6.28,6.29,6.31,6.3,6.29,6.32,6.32,6.31,0.04106520425,1.29170541826826
"234","CoronaSky","Life Satisfaction","May - 12-months",8,57,6.35,6.38,6.35,6.32,6.3,6.28,6.3,6.33,6.35,6.38,6.4,6.42,0.0475966359166665,1.49715150886897
"235","Patricia Arriaga","Life Satisfaction","May - 12-months",9,57,6.372,6.307,6.272,6.306,6.321,6.351,6.38,6.393,6.391,6.419,6.46,6.346,0.0500346657499999,1.57383970275799
"236","ms607","Life Satisfaction","May - 12-months",10,57,6.24,6.26,6.22,6.24,6.27,6.26,6.28,6.32,6.3,6.35,6.36,6.34,0.0504154722499999,1.5858179658239
"237","A Woman Scientist","Life Satisfaction","May - 12-months",11,57,6.4,6.3,6.3,6.3,6.4,6.4,6.4,6.44,6.38,6.36,6.35,6.4,0.0531523602500001,1.67190673911409
"238","TheMets","Life Satisfaction","May - 12-months",12,57,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,0.0532493822499998,1.67495856475041
"239","Not a fortune teller","Life Satisfaction","May - 12-months",13,57,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0562633429166669,1.76976265484772
"240","4 chimps with a dart","Life Satisfaction","May - 12-months",14,57,6.371621834,6.311220741,6.343768437,6.348063229,6.370721334,6.396651361,6.413989808,6.407538238,6.406474128,6.424569907,6.437782509,6.43919129,0.0680487835833332,2.14047352415533
"241","WeGen","Life Satisfaction","May - 12-months",15,57,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0787493822500003,2.47706070371253
"242","meebe","Life Satisfaction","May - 12-months",16,57,6.5,6.3,6.2,6.3,6.3,6.2,6.2,6.3,6.3,6.2,6.3,6.3,0.0793985375833333,2.49747987553155
"243","Duckling Power","Life Satisfaction","May - 12-months",17,57,6.4,6.3,6.35,6.25,6.3,6.2,6.15,6.2,6.25,6.3,6.35,6.4,0.0794617792499999,2.49946914126115
"244","The Forecasting Four","Life Satisfaction","May - 12-months",18,57,6.08,6.095,6.14,6.24,6.28,6.23,6.3,6.36,6.33,6.33,6.37,6.34,0.0799430820833333,2.5146085150692
"245","Waterloo Purple Jackets","Life Satisfaction","May - 12-months",19,57,6.421657133,6.404696788,6.380576899,6.36,6.37,6.4,6.42,6.44,6.43,6.42,6.41,6.42,0.0851602839166667,2.67871552486974
"246","King Octopus","Life Satisfaction","May - 12-months",20,57,6.50142,6.47,6.33,6.18,6.24,6.3,6.33,6.35,6.4,6.45,6.4,6.42,0.09021496925,2.83771058046374
"247","BlackSwan","Life Satisfaction","May - 12-months",21,57,6.1,6.1,6.1,6.2,6.2,6.25,6.25,6.3,6.3,6.35,6.35,6.4,0.0933461289166668,2.93620116344669
"248","LongerSquigglyLines","Life Satisfaction","May - 12-months",22,57,6.480284,6.411449,6.336848,6.375438,6.386695,6.411736,6.407938,6.437951,6.451646,6.466238,6.459458,6.447009,0.101473548916667,3.19184904447584
"249","WQXZ","Life Satisfaction","May - 12-months",23,57,6.4541,6.3856,6.3489,6.3686,6.3922,6.4137,6.441,6.4384,6.437,6.4788,6.4853,6.4773,0.105491048916667,3.31821945009467
"250","Broken Mirror Neurons","Life Satisfaction","May - 12-months",24,57,6.43,6.4,6.37,6.36,6.4,6.42,6.43,6.42,6.44,6.48,6.49,6.49,0.10624938225,3.34207281435793
"251","Korrigan","Life Satisfaction","May - 12-months",25,57,6.4,6.25,6.3,6.35,6.38,6.38,6.55,6.6,6.5,6.48,6.46,6.48,0.10698483075,3.36520633651268
"252","DrT","Life Satisfaction","May - 12-months",26,57,6.42463991005986,6.42574981838893,6.42988670390691,6.43039769178276,6.43287721859489,6.4353285789396,6.43642030228546,6.43721616186657,6.4305572981626,6.42299294726569,6.45176056540464,6.43366682684732,0.111373884208769,3.50326395091652
"253","Seaside","Life Satisfaction","May - 12-months",27,57,6.3,6.25,6.2,6.15,6.15,6.15,6.15,6.15,6.2,6.25,6.3,6.35,0.11169055225,3.51322473966993
"254","Cascade Institute","Life Satisfaction","May - 12-months",28,57,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.112082715583333,3.52556023176756
"255","Sociology","Life Satisfaction","May - 12-months",29,57,6,6.05,6.1,6.15,6.18,6.22,6.26,6.28,6.3,6.31,6.32,6.33,0.112917284416667,3.55181158260394
"256","CarrNCUSA","Life Satisfaction","May - 12-months",30,57,6.3,6.45,6.49,6.49,6.45,6.46,6.43,6.48,6.4,6.41,6.43,6.46,0.121860364916667,3.83311605311219
"257","MLTS","Life Satisfaction","May - 12-months",31,57,6.45463881934652,6.45341623465554,6.43174752478463,6.42772841127451,6.436624996665,6.43830935302476,6.44475101661802,6.45466215356525,6.44997661790302,6.45042023585132,6.45725048355124,6.46245300568597,0.125580953327148,3.95014710888649
"258","Bordeaux","Life Satisfaction","May - 12-months",32,57,6.46,6.428,6.414,6.426,6.439,6.447,6.46,6.46,6.46,6.46,6.46,6.46,0.126582715583333,3.98165752647149
"259","BRTWN","Life Satisfaction","May - 12-months",33,57,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,6.460422,0.13917138225,4.37763385823677
"260","Team29","Life Satisfaction","May - 12-months",34,57,6,6.05,6.1,6.15,6.2,6.25,6.3,6.35,6.4,6.45,6.5,6.55,0.143517497916667,4.51434086499794
"261","Bluebirds","Life Satisfaction","May - 12-months",35,57,6.46841,6.4686,6.46863,6.46864,6.46864,6.46864,6.46864,6.46864,6.46864,6.46864,6.46864,6.46864,0.147366048916666,4.63539698221381
"262","Old Chickens","Life Satisfaction","May - 12-months",36,57,6,6.1,6.2,6.3,6.4,6.45,6.49145332404342,6.49617665477565,6.50105742986561,6.50593820495558,6.51034664697232,6.51522742206228,0.148354413972905,4.66648599106417
"263","fearfulastra","Life Satisfaction","May - 12-months",37,57,6.508629782,6.444670458,6.407886591,6.431860061,6.458139553,6.480067496,6.484948271,6.489671601,6.494552377,6.499433152,6.503841594,6.508722369,0.154784657666667,4.86874921540981
